"","V1"
"2274","I  am probably the only one - that bought this device - just to get HBO-GO.  The rest I don't care much about.  I've been getting the Amazon icon to open on my sony blu ray player = all along.  My smart tv - (ha) Samsung that had the HBo GO icon loaded on it vanished and the tech tells me my 6 year old TV is ""old"" and they removed the icon for security purposes (go figure).  Long story about nothing - but buying the fire stick was for the utility of the HBOGO app..  It works fine.  Maybe over time - I'll find something else that I would like of this device."
"2275","I think it's the best thing since sliced bread"
"2276","Best purchase ever! We fought with the PS4 remote dying all the time when watching Netflix or Amazon video. This has been an excellent purchase and my husband loves it too. Would be very easy to take with you on vacation as well!"
"2277","I love the Fire TV Stick after loading it. I have watched a lot in the short time I've had it. Now my only issue is getting local channels for the news. Once I get that I will cancel my cable subscription."
"2278","We have smart TVs, Apple TVs, a Roku and the Firestick. Firestick is the best price, particularly with an Alexa discount. We mostly watch Netflix, sometimes Amazon Prime and it does that well."
"2279","Love it. Does everything I need. Works great with direct now and other tv apps which I couldn't find trying out countless android boxes.  I love how it shows features for Netflix, prime, and hbo"
"2280","I received this yesterday and installed it in less than 5 minutes. Easy to use and the choice of cintenrs is great.  Being an amazon prime member, the choices are amazing.  I highly recommend this device. Well worth the $29.99 and the expedited shipping I paid a bit extra for. Also having the Alexa function is an added bonus. I am very happy with his purchase."
"2281","Love the Fire TV Stick. You also have the option to download apps for broadcast  and cable stations that might lead me to cutting the cord and get rid of my cable provider!  Works like a charm."
"2282","If you are going to buy a firestick definitely buy one using your prime account. All of your account settings are pre-loaded so there is not need to spend 20 minutes putting your information in. Very happy with this setup."
"2283","This is an excellent product, much superior to a smart TV or smart DVD player that I used before. It's easy to setup, easy to use and, importantly, very fast and responsive. Though I have not used the voice control yet, I appreciate  a quick access to the movies of interest to me, and a wide selection on Amazon Prime. The main advantage over Apple TV, which I also use, is the selection of shows and movies included in Prime membership. I also like the access to my favorite music and the cloud storage with my personal library of photos. In summary, it's a good buy for $39.99."
"2284","Nice but started seeing commercials.  Not on the programming, but on the menu."
"2285","About a year into using the stick it is crashing while running apps. Based on my use, the HBO app and Netflix apps occasionally go blank and revert to the Fire Stick's home screen. Very annoying."
"2286","love it!!! I used to use my PS3 for tv streaming but this fire stick knocks it out the park. its far superior ,great picture, no buffering,I can stream from all of my tv accounts. love the fire stick"
"2287","A vast improvement over the previous Fire TV Stick. This is a really clever piece of technology, saves so much time, no need to type search with the old slow buttons, just ask Alexa. Brilliant! And the three year warranty was only $4.99"
"2288","Only thing wrong with the remote, it doesn't light up at night so I can see the buttons. Otherwise, I love Amazon Fire Stick. I can watch The Man in the High Castle and possibly other shows."
"2289","I really like it. Once you set it up, it's easy to use. I think it does a lot more than I have programmed for at the moment but I'll get there. I would definitely recommend it to my friends."
"2290","This was easy to set up and now I have the benefit of all Amazon Prime movies on my TV. Because it also incorporates a Netflix app I've unplugged the Chromecast device that gave us other apps on the TV."
"2291","My ""smart"" Sony tv started constantly losing connection to the internet after only having it for 3 months.  When I began researching I learned that this seems to be a frequent problem with Sony TV's, much to my dismay.  I also learned that getting the issue fixed is incredibly time-consuming and cumbersome at best.Enter Amazon Fire Stick with Alexa voice remote.  Purchased it on sale...a $29 fix and like the options much better than the smart TV options.This turned out to be more a rant against Sony products, BUT I LOVE THE FIRE STICK!!!!!!!"
"2292","Works well, especially if you don't have a smart tv.Only CON is the remote. After a mere month of use, the center button has become ""sticky"" and isn't clicking correctly."
"2293","Really great and convenient. I just wish that it was programmed with the free version of CBS as well as, all access. It should have all the free local apps. Also, don't like that if someone else in the house logs onto Amazon prime that it takes over the firestick."
"2294","First 3 incredible.  Great.  Wonderful remote!!  Way better than Apple TV and incredibly affordable.  Most recent 2 didn't work right.  Have bought 5;  love the 3, but 2 didn't work right and returned.  Note:  Amazon's return people were incredibly good.  <24 hours response!!  They will send new one!!  Amazing."
"2295","It's a great streaming device, however, if you have a smart tv, all the items on the Fire stick are on your tv and vice versa. It's great if you don't have a smart tv or cable but if you do, i don't see a difference."
"2296","I shouldn't have bought this. I have a Roku box already which does everything this does and much more. It costs more also, but I already had it is the point. I should donate it to a library or something."
"2297","The light grey text on dark grey background is a poor choice for UI colors. Yes, it's clean but difficult to read. Praying for a firmware update to fix this. Otherwise it is totally awesome."
"2298","I was a little more than impressed at how small and easy it was to setup.  I really like that it actually had one of our local news channels.  We recently cut the cable cord and having amazon prime and hulu plus (without commercials) is way cheaper and tons of programs.  With the fire stick with voice it's so easy to switch between Prime and Hulu and local news.  The only reason I knocked one star off is because of the loud clicking noise you hear when navigating the menus.  I picked it up on sale for 29.95 and it is well worth that or the 39.95 normal price."
"2299","works ok most of the time, so far. I've had it working for 2 days (took a while to install kodi and covenant properly). If I could do it again, I'd have purchased the fire tv box rather than the stick because the box has an ethernet port and seems to be a bit ""beefier"" in terms of heat resistance. My wife received a box as a gift from her daughter a year ago but they won't let me jailbreak it. (PRUDES)"
"2300","We had an ancient streaming box and replaced it with a Fire Stick and I love it. Super easy. No fuss no muss. Amazon movies and shows at the touch of a button OR ask Alexa to get it for you."
"2301","We bought one after my brother in law said how much they were enjoying theirs they bought several.  We have had it for a couple weeks and really like it.  It takes a little getting use to but my husband seems to have no problem already."
"2302","While the end result is good, the product was  difficult to assemble. It took an herculean effort to insert the batteries to the remote, since access was impeded by a too tightly fitting  cover (battery door)."
"2303","I love this thing. I purchased one for my in-laws to make their tech life simpler. I instantly fell in love with it and bought one for myself. The best part is the voice feature.  It is smarter than my smart TV!"
"2304","I purchased the stick so I could connect to directs, now I find out I cannot connect to it.Directive now is not the same and in talking with tech help we could not locate the proper app.Very unhappy!"
"2305","I love love love my new Fire stick. The original one I bought just decided to stop working for me and when I was able to get this one and get it home i started streaming my shows immediately."
"2306","Haven't had a single problem with the product. We'll be ordering a third for us and one for my son at school. WAY better than our Sony box, and can do things like Beachbody on Demand so easily."
"2307","Really wanting to get rid of Directv but was so nervous about it. Finally bought a Firestick for the main TV to try it out. Added Hulu, then upgraded to their no commercial plan- worth it by the way. Now I just need to get a decent antenna for local channels, recommendations welcome, and we are cutting the cord. Will save us nearly $1200 a year on cable! I wish I had done this years ago and some of Amazon's original shows are great! Excited to check out more. With the bonus of Prime Music through the TV and all the apps we've downloaded, this thing is amazing."
"2308","So happy! It is the better than my ROKU.  Love it!"
"2309","WORKS AS ADVERTISED.  JUST WHAT -WE- NEEDED, ANOTHER THING WITH BUTTONS ON IT; TV, CABLE, PORTABLE LAND LINEPHONE, CELL PHONE, RECLINER CONTROLLER  STILL ACCESSES SOME GOOD VIDEOS/MOVIES."
"2310","This is great as long as you have fast internet. However setting it up is ridiculously hard. There are no instructions that come with it. If my daughter wasn't here from Florida, I would still be trying to figure it out. Also, you can't UST it on my Santo TV. There is no sound."
"2311","It is nice but the new version does NOT have the same options.  The new one does not have TBS which is a HUGE disappointment to me.I rarely use the voice option as it just seems to increase the number of steps you need to get to where you really want to go.  I have not used it much as it always came up with the wrong answer - unless I was looking for the weather.My goal is to be cable free and it does not do that as you have to have cable codes to access many of the applications.  It is so difficult to end the stranglehold of the cable companies."
"2312","Will need to get 2 more of these for our other 2 televisions. Then get some for gifts for the holidays. This is great. Works fast easy to set up and of course has  Amazon's amazing apps. Love it!"
"2313","Disappointed. Last night my fire stick remote stopped working. It's August, 2017 and I purchased this product in October, 2016. Did not last a year. My Roku literally lasted even after the apps were not supported."
"2314","Took a little bit of figuring out as it came with no directions, but it wasn't difficult. Had to add Netflix for more content."
"2315","Got tired of moving the fire TV box back and forth from the bedroom TV to the living room TV, this works perfect in my living room. Much cheaper than the firebox. Does the exact same thing."
"2316","Not sure exactly what to think of this.  I like the fact that it took my ordinary HDTV and turned it into a smart TV.  Was able to connect to my Amazon prime with no problem.  The voice recognition is difficult to navigate - easy to type then multiple attempts to understand my voice.  I am still hoping that it will replace my cable but unfortunately there are stations that are only available if I still have basic cable so the only thing I will be reducing is the cost of monthly rental of the cable box.  Overall I still like it!!!"
"2317","Alexa has become welcome in my life. At first I forgot it was there. After programming it to explain everything and, at first, regretting it I became aware how really helpful Alexa is. It was difficult for me to read the printed  reviews and no problem Alexa has helped.  It has only been a short time that I have had FireTV. Every day  find more ideas for questions for Alexa. It's also fun when I am not pronouncing clearly to hear what Alexa comes up with. Thanks for this and and the opportunity to view more than could without it."
"2318","I originally bought the Firestick to stream Beachbody on demand. It doesn't work with BOD. The app will load but not go past the loading screen, such a bummer."
"2319","The Firestick is a definite winner! Love Amazon movies, being able to watch Blaze TV and YouTube on my non-smart TV. I love buying these for gifts for friends and we have one in every room!"
"2320","Actually, my son-in-law hooked it up in our vacation home, so I can't comment on that process, but using it is super simple and allows me access to just about everything I'd ever want to watch.  Love it, and ordering another for my home TV."
"2321","We love this! We watch movies or shows almost every night. When there is not much at RedBox, we always find something on here. Most definitely recommend this especially if you have Amazon Prime. Great buy!"
"2322","I heard about Fire TV Stick from a acquaintance, they said how great it was and how much they enjoyed it. After hearing this I decided to get one for myself. They were right it is great! I am enjoying movies from the past as well as the present."
"2323","Doesn't really get the voice recognition for words.  I can't look up shows in hulu plus which you can link through the fire stick.  Works good for amazon prime members.  With all the other options like Psvue or Xbox live, or hulu live it's not worth it.  The worst part is you can't turn it off, you have to unplug it.  Unplugging is the safest way to prevent monitoring of all my television watching experience."
"2324","Bought the stick in order to use the PlayStation Vue app. The app itself is a little laggy at times but mostly works wonderful. We are also using for Netflix and Prime steaming. It's easy to use and we haven't had any issues so far.  I've used Roku boxes for the longest time but have now taken a preference to the fire stick."
"2325","If the controller gets lightly tapped it turns the Amazon stick on, pauses your show or fast fwds. This happens often at my house with having kids. But the most frustrating thing is. I have amazon prime, hulu, an netflix so then I am going threw looking at things to watch and it cost money.  New seasons cost money. Really disappointed that they don't have a way to just not show up shows you can watch without making you pay for them."
"2326","If you own the old fire stick like me, you should get this new one. It's faster and smoother.With the old fire stick (dual core), I had stutter and judder on 1080p movies / tv shows.Everything is smooth now, just as I expected."
"2327","All-New Fire TV Stick with Alexa Voice Remote | Streaming Media Player Best thing ever we have like 4 in our house and got my family some too. Its amazing from the movies to the apps you can have on your TV. and one of my favorites is the music part it has TONS TONS TONS of selections anything you can think of from today and from way back when but the best part is the lyrics are on the screen its pretty cool. The alexa voice control makes it so much easier finding tv shows movies music its awesome. For the price it is great. 10 stars"
"2328","I have 2 fire sticks one with voice and one with out. Hands down the voice remote if my favorite. If there was a way that my voice remote could work with both fire sticks I would throw out the non-voice remote. It is just a time saver and more accurate than my typing.I have now purchased another one but it sure would be nice to not need a remote for each device at some time I am afraid I will have the wrong remote in the room with the incorrect device. Need to find a way that you can have one remote work with multiple fire sticks and dot and echo."
"2329","A new experience to our family...we are not to tech savvy.  We were worried about installation, but the fears were not to be found.  Very simple hook up and viewing is great.  Great selection of shows to watch right now...and free for the ones we have watched."
"2330","We wanted to watch an AAmazon video on our TV screen. Our cable TV provider did not have a link, so the Fire TV Stick provided the needed link. Quality of image, data flow rate & audio is great"
"2331","So much much faster to access prime video, netflix, etc.  - compared to using xbox 360 (wifi) or plugging ethernet cable into tv - used to take very long.  + love the options to subscribe to cable access channels, & voice command is ++"
"2332","This is great!  I has taken me about a week to navigate and find different applications for ""Live"" TV.  I will be cutting the cord from Comcast soon!  I do have one concern with Live TV - I am PST and all shows are EST - not sure how to set for my time zone"
"2333","My goal is to have one for every TV in the house! I LOVE the amazon fire stick! Our family has been able to completely cut out cable thanks to this amazing product! This, hulu, and netflix, along with our internet provider and we're still able to watch all of our favorite tv shows and movies!"
"2334","We love the firestick!  I even took it On a recent trip and plugged it into our hotel tv.  The firestick is more than I expected as you can watch live tv,Movies, Netflix, prime,'etc.  I could go on and on."
"2335","Much faster than the other gens.  Opted to not get a smart tv recently and went with a smart cast one because the fire stick essentially makes your tv a smart tv.  Except I find the apps run much smoother on the fire stick.  The typical smart tv apps are not always updated and lag.  Glad I can take it with me on vacation and what not .. once signed into xfinity wifi.Be patient the screen will come up to sign in. (It says error when you sign in through xfinity wifi..  Just keep pressing sign in... it will after several attempts) gonna be gifting this bad boy this Christmas."
"2336","This unit works as advertised; the first unit that came in the mail did not work and we had to exchange it. My only question is this: we have this Fire Stick, a WiFi capable DVD play, and a smart TV. Our primary purpose for each of these is to access Amazon Prime; on each of these devises Prime appears differently so navigating on each unit has been a new learning experience.  It would be nice if navigation process were the same on all devices."
"2337","Easy to use, easy to hide behind the tv, using the Alexa feature is nice for guest that don't know to use technology. Put the fire stick in the guest room and just told guest to talk to the remote to find things and they seemed to be able to do it.I will say, I was thoroughly impressed with how it was packaged. I thought I was unboxing an apple product the way everything was perfectly thought of. Also asking Alexa the weather is a cool feature. If all you want is Netflix and Amazon streaming this is right for you. Other than that, I would not recommend."
"2338","The idea is great. Potentially wonderful, however, quality of some shows are very very poor and other shows just do not come in at all. Still trying to see what the options are to make this work, if possible."
"2339","I have recently ""cut the cord"" and subscribed to Hulu and this gadget fits the bill. At times having a hard time to connect with router which is not too far away so I have to reset but not all the time."
"2340","Thought I was going to use this product more. Obviously it's a great product if you're trying to watch Netflix, Hulu, Prime Video, or order a Dominos Pizza, however, it just wasn't my cup of tea.The remote is great at voice recognition, and it's pretty easy to use."
"2341","Set up was super easy, the remote responds quickly, and the design is great. This is definitely a step up from the Chrome Cast, and this device is a serious contender in the streaming device market. It sounds stupid, but my favorite part of the set up was that Amazon had a video play during the loading process. This added element kept me engaged during the set up process, rather than just showing a boring ""Loading. Please wait"" screen. Very smart Amazon, very smart. Overall it's a great product, and well worth the money."
"2342","First off let me say I never review anything!!!!! But once I got this set up and jail broken I had to do a review! The only con I have is that with the movies that are still in the theater I didn't realize they were going to be bootleg movies. That's why some reviews say the picture quality is terrible but other than that I LOVE IT!!! Bye bye cable bill"
"2343","It's a very good product but it is bad that it does not have basic feature of browsing. It would be good if it can support android apps supported by phones. MotoGP VideoPass app is not there for fire tv which is a shame.If you compare this to Apple TV or Chromecast.. choke cast is total useless and Apple TV not worth the money. This is a value product except for few feature support"
"2344","My smart TV would not play my movies in the cloud, most streaming would stop and buffer because of 'bandwidth"". Using the Fire stick fixed this problem. No problem with bandwidth again."
"2345","It's ok. Runs really slow before connecting to a site to watch something. It has to be restarted every day or two to clear the ""memory"" that it stores or video's start to freeze up or stop all together. I would not recommend a firestick for major TV viewing. It's just nice to have to find certian movies and old TV shows that aren't on regular TV anymore."
"2346","Lots of movie selections, but disappointed in how many you have to pay to watch, when they aren't even new.  Fairly easy to set up, except for getting the back off the remote to put the batteries in.  Haven't had it for very long, so I am still getting used to using it.  Love the voice remote."
"2347","Still working with it. The remote is almost impossible to get the batteries in (had to youtube it). The device has to plug into the wall on a cord that is not really long but I made it work in my case. If this was used for my primary tv I would probably get Apple TV. Their products just work easily in my opinion."
"2348","I upgraded from the previous generation and this 2016 model blows it out of the water. Load times are much faster and menus are very snappy. I debated between purchasing this, a Chromecast, and the new Apple TV, and I am very pleased with my decision. Amazon offers all the streaming services while syncing with my Prime account while the other options have shortcomings in the content availablility. This is a must-have for any Prime member. Also, check out SideClick's universal Fire remote attachment if you'd like to avoid having to use multiple remotes."
"2349","So far I have not been thrilled with it.  It appears you have to subscribe if you want access to anything and pay for it.  I did sign up for the Amazon free trial but they do not appear to have that much that is free (or at least that I have found).  The reason I think it is not good for me is I only watch TV channels and I watch very little of that.  I do like to record stuff and, of course, you can't do that.  I just don't feel like I need all that it offers.I am giving it a chance and would appreciate any input that might change my mind."
"2350","Works great!  Voice activation makes it easy for my little guy to find the shows he wants to watch.  Just a note to anyone who's upgrading from their first-gen stick... make sure to use the new plug adapter with the new stick. I thought it would be nice and easy to just use the same plug the first one used, since I already had it threaded through the hole in the entertainment unit, but discovered that the old one doesn't deliver enough power to the new stick, and the new stick just kept rebooting spontaneously. Swapped out the plug, and it works great."
"2351","I love it when it works...constantly getting frozen pictures while the sound continues.  Sometimes, not even that!  Some days shows buffer all the time with no sound.  It seems the major problem is in using DirectTV NOW.  I bought Fire TV specifically for DirectTV NOW.  Very frustrating.  I've tried all the fixes.  I've deleted cache, restarted the router, restarted the modem, restarted the modem AND router, restarted Amazon Fire TV, restarted DirectTV NOW, etc  Today, no problems at all!  Someone...Amazon or DirectTV NOW really need to look into this!"
"2352","I am really enjoying watching TV now.  With so many shows and movies to choose from, I think of what I want to watch, tell Alexa to search, and she does the searching for me. I am still exploring what all I can do with my device, but I am sure I will be pleased."
"2353","I waited to purchase the Fire TV Stick with Alexa Voice Remote vs the older version without remote.  I think it was worth the wait.  The Fire TV stick is doing well so far.  Having Amazon Prime with this product is a good idea, you get much more!  I like that you can take it to a friends house and enjoy a movie in this way also.  I haven't yet figured out how to view the regular channels 2, 4, 5, 7, 9, 11, 13 as for live news as of yet though.  If anyone can let me know how that works please do explain.  I think that anyone who purchases the Fire TV stick will enjoy it!"
"2354","I feel it was a bit of a waste of money. I think the Apple TV works better and is easier to navigate. I thought there would be a lot of free movies, there aren't. It has the same apps as AppleTV. The Alexa voice search and being able to (most of the time) control it from your phone are cool. Bottom line if you already have an AppleTV or something similar you don't need this, there are very few free movies you're missing out on."
"2355","My smart TV got zapped by lightning so I was looking for an affordable way to access Netflix and Prime Videos on its non-smart replacement. I'm very happy with this device. It works great!"
"2356","Alexa and I are bonding quite nicely. She is proving quite useful in my quest for more lazy days. The parental control feature is nice. And I can now find out the weather each morning without having to flip channels.  Overall, I only mostly love the Fire Stick. It must be because the power cord points awkwardly upward on my LG tv. The lack of an Ethernet connection does kinda bum me out.  But the HDMI extender is a cool addition; keeping this stick at a solid 4 stars."
"2357","A must for any prime members. Set is a blink of an eye and the voice Search is great.If you add the fire stick app to your phone and you a great remote.You can plug it in any HMDI and you have your personal fire TV."
"2358","I love this thing. It took me a while to start to use it, but once I did I fell in love! If you misplace your remote ( cause I always do) you can download a remote to your iphone and ipda!"
"2359","Could not have been easier to install and it's so much nicer viewing movies on my TV instead of my Apple 5S iphone!  Thank you Amazon for your support, which, it turned out, was not necessary."
"2360","This Fire stick is an upgrade to my former tv stick which still works. But I had to get this because there was a price reduction and I was intrigued with the Alexa function. I love Alexa!!"
"2361","I'm not sure how we watched tv without the firestick! It works right out of the box and is easy to set up with Amazon and Netflix.  Works so much better than what came with the television."
"2362","Since I'm not good with any technical stuff, I was amazed how easily the Fire Stick installed and works.  The voice feature is awesome.  Just say what you want to watch and there it is!  I ended my long association with cable and plan to install a few more fire sticks.  I did not have to have the grandkids do it for me.  Give it a try!"
"2363","I purchases this after a lot of research after getting fed up of paying so much to Dish. This was definitely worth it and now my bill is half of what I was paying to Dish. So glad I purchased this and it is better than Dish because I have everything in one place, international channels, local and everything else. If you are thinking about getting Sling TV and ditching cable/dish, this is it."
"2364","I had made this purchase to give me channel options for a non connected t.v., for such things as Netflix, etc....Having Alexa access to all of my smarthome from the remote is an added bonus!one of the best purchases to date!"
"2365","I love the Fire TV Stick with Alexa Voice Remote.  It was easy to install.  My TV is 2009 so it doesn't come with the Amazon Prime app.  I taught my seven year old how to use it in minutes.  The picture clarity and the sound is better than Cable TV.  You have to be careful with children because there are many programs on Amazon Prime that require payment so you have to put some children controls on it or they'll inadvertantly run up your bill."
"2366","Easy to set up and get started.  Able to set up a tv in an extra room to view net Flix or amazon without cable."
"2367","After trying to hook this up for a long time, I had to call a rep to help.Completely helpful, we realized the product was defective. He told me one would ship out soon, and I had to send the old one back. Figured it would be a week before I got this, shopping mine then waiting for theirs. The next morning one was on my doorstep. It included a stamped envie to return mine in. Setting this one up was a breeze. Absolutely love it, and LOVE the customer service"
"2368","It is great buy. I recently turn off my cable and you access everything through fire stick.  If you are amazon prime member. You have access to watch a lot of movies. I will buy another one."
"2369","So far so good, although I'm waiting for a wi-fi extender to arrive to get full value, as we spend a lot of time buffering and re-engaging the internet at this point. That was expected, though. If anything, it's performing better than I expected it would without the extender."
"2370","""Alexa launch YouTube"". Great! It works""Alexa search music video"". No.. Not in the amazon search option, in youtube.""Alexa search YouTube music video"" nooooo wtffff.Fire stick has a perfectly good voice to text option but it's limited to buying things on amazon and not free to use in individual applications."
"2371","I recently bought this at Best Buy, since I could just get it at the store.  I love it! Easy to use and the remote was very user-friendly as well! Our smarttv in the bedroom stopped supporting YouTube, so I needed something else, this has definitely fit the bill and I could also download all my other subscriptions on there as well.  Very happy with my purchase!"
"2372","I love the ability to watch what I want when I want but the remote doesn't work half the time. I've only had it hooked up for a couple of weeks and had to change the batteries twice already."
"2373","I am so glad that I finally decided to purchase this fire stick. The voice commands are a great touch and most of all, I was able to successfully download Kodi onto it. You will not be disappointed when you buy this."
"2374","Disappointing. If you use it as Amazon intends, it is fine. But to be really useful it needs work. Like many similar devices it is unfortunately too dependant on an Internet connection.Sideloading kodi and vlc certainly helps from the playback side.My biggest complaint is the lack of support for ad-hoc wifi or wifi direct.Support for miracast is also not as robust as one might hope.Having the microUSB work with OTG is a plus that Amazon barely acknowledges."
"2375","I had a google chrome cast but didn't like that I couldn't stream Prime movies and shows through the device.  When I saw that this had a voice remote, I had to have it.  I really like the remote.  The device is fine, but the remote is GREAT!  I love using Alexa and not having to try and type titles.My mother who is usually unable to use electronics without constantly calling me for help really enjoys the use of the remote.  Its fool proof and has a great learning curve.It makes a great gift.  I ended up giving mine to my mother, and plan on ordering another!"
"2376","Bought this for Netflix but wound up doing a lot more with it. Only negative is you have to plug it in still. I found an adapter that will plug it in to the USB to lose plug just haven't ordered yet"
"2377","It's ALWAYS cutting in and out... Especially, during pivotal  moments in my FAVORITE shows! If it didn't take a hundred years to get another one, I'd send it back. I like my Roku better. Don't have those problems. Glad I found out about this before I  bought two more."
"2378","Yes!  My niece & nephew gave this to me as a gift and set it up as well.  I am really enjoying it.  Best gift ever.  It will provide hours and hours of entertainment for me and my little grandson."
"2379","After purchasing the fire stick we were able to cut back on cable service. I loved it so much I purchased one for my granddaughter who in in the Marines and does not have access to cable. I would highly recommend this to anyone trying to cut costs. You do however have to be a prime member to view some of the Amazon series."
"2380","This is by far the best streaming device you can buy. I own a Roku 3, which is an excellent device, but this has more features and a better user interface. I purchased a third because I just ""cut the cord"", ditched my cable company and signed  up with Playstation Vue. Couple this with a high speed (100 mbps) and I'm all set. Not only do I watch only the channels I want, I so am a Prime subscriber and get all of the benefits associated with that as well. I will saving about $50 per month and this is with a connection that is twice as fast as what I was paying for before.If you are looking to get a streaming device, I strongly recommend that buy this one."
"2381","This worked very well and has access to all the stuff I need since the Chromecast will not support Amazon!  But honestly I still like the Roku interface better and it includes everything!"
"2382","I have had this for a month or so, and just now realized I can use the alexa feature to control my smart home! I thought the alexa was only to find shows or programs within the firestick!"
"2383","This has completely surpassed my expectations. I bought this thinking ""Oh everyone else has one so I guess its good"" But now I am amazed! Amazon has done it again. I have a Echo and love the ability to control things in my house but now I can control them with this amazing and sleek remote! I made a video review if you would like to see it in action and are not already persuaded! My YouTube channel is TVloger (first on the list when you search it) This is a no brainer for someone who either does not have a smart TV or wants An amazing device!"
"2384","I love this fire stick. It retains my info. If I leave to go somewhere and I have to turn it off; when I come back, It restores where I left off when I look for the same program. Wait time is no faster  than if I looked for a show or movie online. Alexa puts the spelling up on the screen so you can make sure you're looking for the right info. Before it searches. I like the 5x rewind and fast forward function. Took me 5 min. To set up. Definitely worth the money I paid for it...recommended it to my friends;  they got one too....I hear no arguments...."
"2385","this is a great addition to my cable-free home.  We have amazon prime and netflix and this made the perfect place to access them, along with many other options we didn't even know about.  Thanks amazon!"
"2386","Love the fire stick and how it works!!  Highly recommend purchasing this item."
"2387","The remote doesn't work at all, I've only had it for 2.5 months.  I can use my phone, but still it's annoying."
"2388","This was a gift for a prime member. I gave 5 stars because it was very easy to set up and use. Maybe bc I am not a real movie fan I found the free content disappointing in both tv shows and movie selections, perhaps the rotate their content like Netflix."
"2389","They need to work on the WiFi range.  I bought this to go upstairs and it wouldn't connect with my wifi. I have no problem with my iPad, kindle, phone and ps3 connecting to my wifi upstairs.  The fire stick kept losing signal si I had to invest another $30 in a wifi booster just to be able to use this.  If the fix the WiFi range I would give more stars. If you use this right beside your router your stock will work.  If you plan on using this anywhere away from your router plan on purchasing a $30 wifi booster from Walmart online the had the cheapest I could find."
"2390","Works great exactly what I needed it for.  Was a bit thrown off there was a wire that had to be plugged into the wall (they never show the power cord in any of the pics), but that's not really a deal breaker for me.  No issues and very user friendly.  Perfect for the price too because I was not trying to break the bank buying one of those apple tvs."
"2391","I love my Fire TV Stick.  I've been using it for a month now.  I love the fact that I can use the stick as an Echo device to ask Alexa questions and control my Smart Home devices.  I can't believe this device was $40 for all it does.  An excellent value."
"2392","I love her, but she is dangerous. I ordered stuff while watching tv and that can never be a good thing!!"
"2393","Performance is smooth and snappy, but it keeps dropping internet. It makes watching a movie with a guest almost impossible when you have to wait every 30 minutes for it to reconnect to the internet. I've read online a lot of users are having the same problem, and none of my other devices get disconnected when Fire TV stick does. Not cool, Amazon."
"2394","Easy to set up & use. I was using Chromecast before but it would stop & restart or I couldn't find it on the setup at all. Fire stick is so much more user friendly & has all the apps I need"
"2395","I have an older Bose 321 system that does not work with the fire tv stick because of incompatible connections.  I can still use the fire stick but only with the television's speakers which aren't that awesome.  Did not see any mention of this situation when I was reading about the product on the Amazon website. So, now I either live with it as is, upgrade my sound system or do more research for a work around.  Would have liked to know of this before purchase. Otherwise, set up was easy and have watched a few excellent shows already (Night Manager!)."
"2396","I love the new stick! I have the 1st generation as well of which still works great! The only 'thing' is that the new generation stick size didn't work with my TV (Samsung 40"") HDMI port. The new larger casing prevents it from fitting. I happen to have an HDMI extender which came in handy for this. It's working fine. I put up a new TV recently and I didn't try to put the stick in the TV's HDMI. I left in the extender.  Now I need to figure out if the Alexa remote can work with the new Echo Dot that was given to me as a gift. Bravo to this device!"
"2397","This is a great version of the firestick as it provides the users with the ability utilize voice commands over the Alexa System.  Alot of Apps that I use are also combined within the stick itself and it's wifi capabilities are decent for a wireless device.  Overall I'm please with this product and would more than happy to purchase it again in the future.  Keep in mind that the Stick plugs into an HDMI port on the TV and uses a USB for power."
"2398","This is so wonderful I really enjoy it ,it helps me look for everything that I need  from movies to  music. it's the best thing I ever got for Mother's Day. thank you son for my Mother's Day gift."
"2399","Fantastic - sorry that I didn't get this sooner"
"2400","I bought this to replace my original Fire TV Stick as that was slogging. It's great for playing Amazon content and as a supplement to my Apple TV. Major shortcoming is that I need to use another remote to control volume and turn my TV and Receiver on and off. Very silly in this day and age. Haven't done much with Alexa but will play with that and update. Would live to see my Amazon content via my Apple TV but that will probably require Jeff Bezos and Tim Cook to cooperate with each other which would probably revolutionize how we watch and listen to content."
"2401","I'm saving a $100 a month cancelling cable"
"2402","I love Fire TV - this is an easy way to add it to another room without the expense and directly connected to the TV. With Alexa voice remote it's easy to find the shows we want to watch."
"2403","I didn't believe when my friend said how much this can do.  It almost makes cable TV obsolete.  Not entirely sold on the Alexander voice thing.  But everything else is great."
"2404","This is the best if you have Amazon Prime.  The voice remote is way better for navigation. We were using our Wii before we got the Fire Stick and the definition was very low.  Now we have high def.  All good."
"2405","Great product for the low cost of $39.99.  Easy to use and install.  I've 3 of these product installed on all my TV's.  It is great for apps like Amazon, Netflix, etc.  The voice report works really great as well"
"2406","great idea put to use, extremely helpful for people with poor eyesight or shakey hands, no more dealing with trying to punch in a movie title, just speak it and the remote does the work."
"2407","This has got to be the coolest gadget ever! I was amazed how easily I got up and running with my new Amazon Firestick. In less than 5 minutes I had it inboxed and plugged into the back of my Yamaha home theater receiver. I could not believe how well it worked and the amount of free music and movies. And being able to use your voice to control it is amazing. I hardly ever watch cable TV. Definitely the best bang for your buck ever. I highly recommend this totally outrageous gadget."
"2408","My family absolutely loves it!  I would give it more stars if I could!!"
